"CodMat","CodFam","Descri","UniMat","CosMat","Desper","Provee","Consum","FecMat","Importado"
"MT1770","05","TUBO DE CONCRETO J.M. D = 1,05 M (42"") C","m","335","5","CONCRETERA CARACAS C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1772","05","TUBO DE CONCRETO J.M. D = 1,35 M (54"") C","m","991,78","5","CONCRETERA CARACAS C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1773","05","TUBO DE CONCRETO J.M. D = 1,50 M (60"") C","m","1293,36","5","CONCRETERA CARACAS C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1774","05","TUBO DE CONCRETO J.M. D = 1,65 M (66"") C","m","1548,09","5","CONCRETERA CARACAS C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1775","05","TUBO DE CONCRETO J.M. D = 1,80 M (72"") C","m","2099,99","5","CONCRETERA CARACAS C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1777","05","TUBO DE CONCRETO J.M. D = 2,40 M (96"") C","m","2670,88","5","CONCRETERA CARACAS C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1778","05","TUBO DE CONCRETO J.M. D = 2,70 M (108"") ","m","2644,77","5","CONCRETERA CARACAS C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1779","05","TUBO DE CONCRETO J.G. D = 0,50 M (21"") C","m","198,38","5","CONCRETERA CARACAS C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1780","05","TUBO DE CONCRETO J.G. D = 0,60 M (24"") C","m","396,1","5","CONCRETERA SANTA RITA C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1782","05","TUBO DE CONCRETO J.G. D = 0,70 M (27"") C","m","353,59","5","CONCRETERA SANTA RITA C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1784","05","TUBO DE CONCRETO J.G. D = 0,75 M (30"") C","m","330,58","5","CONCRETERA SANTA RITA C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1786","05","TUBO DE CONCRETO J.G. D = 0,80 M (33"") C","m","759,85","5","CONCRETERA SANTA RITA C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1788","05","TUBO DE CONCRETO J.G. D = 0,90 M (36"") C","m","885,35","5","CONCRETERA CARACAS C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1790","05","TUBO DE CONCRETO J.G. D = 1,05 M (42"") C","m","1225,17","5","CONCRETERA CARACAS C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1792","05","TUBO DE CONCRETO J.G. D = 1,20 M (48"") C","m","1745,79","5","CONCRETERA CARACAS C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1796","05","TUBO DE CONCRETO J.G. D = 1,50 M (60"") C","m","2311,04","5","CONCRETERA SANTA RITA C.A.","","4/5/2026 12:00:00 a. m.","False"
