"CodMan","CodFam","Descri","Salari","Superv","FecMan"
"DIS001","01","INGENIERO CIVIL P-7 CIV (14 A 15 AÑOS DE","43,27","","4/5/2026 12:00:00 a. m."
"DIS002","01","ARQUITECTO P-2 CIV (4 A 5 AÑOS EXPER.)","25,61","","4/5/2026 12:00:00 a. m."
"DIS003","01","ARQUITECTO PAISAJISTA P-3 CIV (6 A 7 AÑO","29,03","","4/5/2026 12:00:00 a. m."
"DIS004","01","INGENIERO SANITARIO P-7 CIV (14 A 15 AÑO","43,27","","4/5/2026 12:00:00 a. m."
"DIS005","01","INGENIERO ELECTRICISTA P-7 CIV","43,27","","4/5/2026 12:00:00 a. m."
"DIS006","01","INGENIERO GEODESTA P-7 CIV","43,27","","4/5/2026 12:00:00 a. m."
"DIS007","01","INGENIERO MECANICO P-7 CIV","43,27","","4/5/2026 12:00:00 a. m."
"DIS008","01","INGENIERO P-7 CIV","43,27","","4/5/2026 12:00:00 a. m."
"DIS009","01","PASAJE Y TRASLADOS","46,94","","4/5/2026 12:00:00 a. m."
"DIS010","01","VIATICOS","10,1","","4/5/2026 12:00:00 a. m."
"DIS011","01","BUZO","20,21","","4/5/2026 12:00:00 a. m."
"DIS012","01","ARQUITECTO P-5 CIV (10 A 11 AÑOS EXPER.)","36,15","","4/5/2026 12:00:00 a. m."
"DIS013","01","ARQUITECTO P-7 CIV (14 A 15 AÑOS EXPER.)","43,27","","4/5/2026 12:00:00 a. m."
"DIS014","01","INGENIERO HIDRAULICO P-7 CIV (14 A 15 AÑ","43,27","","4/5/2026 12:00:00 a. m."
"DIS015","01","PROFESIONAL CIV P-9  (19 A 20 AÑOS EXPER","52,03","","4/5/2026 12:00:00 a. m."
"DIS016","01","PROFESIONAL CIV P-9A  (24 A 25 AÑOS EXPE","98","","4/5/2026 12:00:00 a. m."
"DIS017","01","PROFESIONAL CIV P-7  (13  A 14 AÑOS EXPE","41,49","","4/5/2026 12:00:00 a. m."
"DIS018","01","INGENIERO P-1 CIV (0 A 1 AÑO EXPER.)","18,49","","4/5/2026 12:00:00 a. m."
"DIS019","01","INGENIERO P-5 CIV ANALISTA DIAGNOSTICO","36,15","","4/5/2026 12:00:00 a. m."
"DIS020","01","INGENIERO P-10 CIV (MAS DE 30 AÑOS)","71,48","","4/5/2026 12:00:00 a. m."
"DIS021","01","INGENIERO P-7 CIV (14 A 15 AÑOS DE EXPER","43,27","","4/5/2026 12:00:00 a. m."
"DIS022","01","ARQUITECTO P-3 CIV (6 A 7 AÑOS DE EXPER.","29,03","","4/5/2026 12:00:00 a. m."
"DIS023","01","INGENIERO GEOLOGO P-7 CIV","43,27","","4/5/2026 12:00:00 a. m."
"DIS024","01","INGENIERO DE SUELOS P-7 CIV","43,27","","4/5/2026 12:00:00 a. m."
"DIS025","01","INGENIERO P-5 CIV ANALISTA TELECOMUNICAC","36,15","","4/5/2026 12:00:00 a. m."
"DIS026","01","ARQUITECTO P-10 CIV (MAS DE 30 AÑOS)","71,48","","4/5/2026 12:00:00 a. m."
"DIS027","01","INGENIERO DE COSTOS P-7 CIV (14 A 15 AÑO","43,27","","4/5/2026 12:00:00 a. m."
"DIS028","01","INGENIERO MECANICO P-5 CIV (10 A 11 AÑOS","36,15","","4/5/2026 12:00:00 a. m."
"DIS029","01","INGENIERO P-8 CIV (16 A 17 AÑOS EXPERIEN","46,69","","4/5/2026 12:00:00 a. m."
"DIS030","01","INGENIERO P-9 CIV (19 A 20 AÑOS EXPERIEN","52,03","","4/5/2026 12:00:00 a. m."
"DIS031","01","INGENIERO CIVIL P-6 CIV (11 A 12 AÑOS DE","37,93","","4/5/2026 12:00:00 a. m."
"DIS032","01","INGENIERO P-4 CIV (7 A 8 AÑOS DE EXPERIE","30,81","","4/5/2026 12:00:00 a. m."
"DIS033","01","INGENIERO P-2 CIV (4 A 5 AÑOS DE EXPERIE","25,61","","4/5/2026 12:00:00 a. m."
"DIS034","01","INGENIERO P-3 CIV (6 A 7 AÑOS DE EXPERIE","29,03","","4/5/2026 12:00:00 a. m."
"DIS035","01","ARQUITECTO P-4 CIV (7 A 8 AÑOS DE EXPER.","30,81","","4/5/2026 12:00:00 a. m."
