"CodEqu","CodFam","Descri","CosEqu","CosDia","Deprec","Transp","FecEqu","Dep01","Provee","Man01","Rep01","TipEqu"
"ALB106","00","SAND BLASTING ARENADOR - 04 MAX.365PSI 2","44,03","","1","","4/5/2026 12:00:00 a. m.","1","HIDROVEN 2021 C.A. (HIDROJECT)","","",""
"ALB107","00","SIERRA DE MESA D=35 CM 8.5 HP PARA MADER","1357,68","","0,006","","4/5/2026 12:00:00 a. m.","1","MAQUINARIAS GIANPRO C.A. - ALQUILER","","",""
"ALB108","00","CEPILLO DE CARPINTERO STANLEY O SIM","160,77","","0,03","","4/5/2026 12:00:00 a. m.","1","FERRETERIA DEL ESTE S.A.","","",""
"ALB109","00","SIERRA CIRCULAR ELECTRICA 2 1/8 HP D=7 1","363,38","","0,02","","4/5/2026 12:00:00 a. m.","1","ARFESA ARAGUA FERRETERA S.A.","","",""
"ALB110","00","LLAVE DE TUBO RIDGID O SIMILAR","176,18","","0,02","","4/5/2026 12:00:00 a. m.","1","FERRETERIA DEL ESTE S.A.","","",""
"ALB111","00","CORTADORA DE TUBOS MANUAL DIAMETROS 1/8""","126,63","","0,03","","4/5/2026 12:00:00 a. m.","1","ARFESA ARAGUA FERRETERA S.A.","","",""
"ALB112","00","CARRETILLA CAP= 55 LT","194,88","","0,02","","4/5/2026 12:00:00 a. m.","1","FERRETERIA DEL ESTE S.A.","","",""
"ALB113","00","RODILLO GRANDE PARA EXTENDER GRANITO","176,18","","0,019","","4/5/2026 12:00:00 a. m.","1","FERRETERIA EL GRANITERO C.A.","","",""
"ALB114","00","PISTOLA DE FIJACION /CLAVOS HILTI DXA-41","1391,79","","0,009","","4/5/2026 12:00:00 a. m.","1","HILTI VENEZUELA S.A.","","",""
"ALB115","00","LLAVES EN JUEGO / TIPO ALLEN 1/16 - 1/4""","17,62","","0,01","","4/5/2026 12:00:00 a. m.","1","FERRETERIA DEL ESTE S.A.","","",""
"ALB116","00","JUEGO DE PLANTILLA METALICA P/DEMARCACIO","77,06","","0,04","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB117","00","TANQUE DE ALMACENAMIENTO DE AGUA CAP=40.","9909,97","","0,0007","","4/5/2026 12:00:00 a. m.","1","EQUIPOS Y SISTEMAS HIDROCAVEN C.A","","",""
"ALB118","00","HIDROLIMPIADORA WATERBLAST 7.5HP-HIDROJE","1321,31","","0,0045","","4/5/2026 12:00:00 a. m.","1","HIDROVEN 2021 C.A. (HIDROJECT)","","",""
