"CodPar","CodIns","CanIns","Desper","Contad"
"B06021","MET020","3","2","2963"
"B06022","AGR001","0,3","5","2964"
"B06022","AGR031","1","5","2965"
"B06022","CON023","0,04","5","2966"
"B06023","REC049","1","5","2967"
"B06023","REC050","0,09","5","2968"
"B06023","VAL246","1","0","2969"
"B06024","AGR001","0,01","5","2970"
"B06024","ARC065","60","5","2971"
"B06024","C-0030","0,02","3","2972"
"B06024","CEM005","0,02","5","2973"
"B06024","PIN194","0,1","5","2974"
"B06024","REC011","0,05","5","2975"
"B06024","VAL006","0,07","0","2976"
"B06025","AGR001","0,01","5","2977"
"B06025","ARC065","60","5","2978"
"B06025","C-0030","0,02","3","2979"
"B06025","CEM005","0,02","5","2980"
"B06025","PIN194","0,1","5","2981"
"B06025","REC011","0,05","5","2982"
"B06025","VAL006","0,07","0","2983"
"B06026","AGR001","0,01","5","2984"
"B06026","ARC065","60","5","2985"
"B06026","C-0030","0,02","3","2986"
"B06026","CEM005","0,02","5","2987"
"B06026","PIN194","0,1","5","2988"
"B06026","REC011","0,05","5","2989"
"B06026","VAL006","0,07","0","2990"
"B06027","ACA067","1,34","5","2991"
"B06027","ACE631","0,03","5","2992"
"B06027","LAM024","0,75","5","2993"
"B06027","MET016","0,25","5","2994"
"B06027","MET017","1,5","5","2995"
"B06027","MET018","1,5","5","2996"
"B06027","MET019","0,3","5","2997"
"B06027","MET020","3","2","2998"
"B06028","ACA002","0,1","5","2999"
"B06028","ACA014","1","5","3000"
"B06028","ACA034","1,17","5","3001"
"B06028","ACA105","0,25","3","3002"
"B06028","ACA120","0,03","5","3003"
"B06028","ACA121","7","5","3004"
"B06028","ACE506","0,015","5","3005"
"B06029","ACA045","1","5","3006"
"B06029","ACA126","1","0","3007"
"B06030","REC007","1","5","3008"
"B06031","ACA002","0,1","5","3009"
"B06031","ACA014","1","5","3010"
"B06031","ACA034","1,17","5","3011"
"B06031","ACA105","0,25","3","3012"
"B06031","ACA120","0,03","5","3013"
"B06031","ACA121","7","5","3014"
"B06031","ACE506","0,015","5","3015"
"B06032","ACE648","1","5","3016"
"B06033","CAR023","0,005","2","3017"
"B06033","REC118","1","5","3018"
"B06034","ACA010","1","0","3019"
"B06034","LAM094","1","5","3020"
"B06035","ACA002","0,1","5","3021"
"B06035","ACA022","0,55","5","3022"
"B06035","ACA035","0,8","5","3023"
"B06035","ACA042","0,4","5","3024"
"B06035","ACA120","0,05","5","3025"
"B06035","ACA121","6","5","3026"
"B06035","ACA124","0,02","5","3027"
"B06035","ACE506","0,0324","5","3028"
"B06036","ACA002","0,15","5","3029"
"B06036","ACA014","2","5","3030"
"B06036","ACA035","0,8","5","3031"
"B06036","ACA042","0,4","5","3032"
"B06036","ACA120","0,05","5","3033"
"B06036","ACA121","3","5","3034"
"B06036","ACA124","0,02","5","3035"
"B06036","ACE506","0,0324","5","3036"
"B06037","ACA002","0,3","5","3037"
"B06037","ACA014","2","5","3038"
"B06037","ACA035","0,8","5","3039"
"B06037","ACA042","0,4","5","3040"
"B06037","ACA120","0,1","5","3041"
"B06037","ACA121","6","5","3042"
"B06037","ACA124","0,02","5","3043"
"B06037","ACE506","0,0324","5","3044"
"B06038","ACA002","0,2","5","3045"
"B06038","ACA010","1","0","3046"
"B06038","ACA034","1,2","5","3047"
"B06038","ACA105","0,3","3","3048"
"B06038","ACA120","0,1","5","3049"
"B06038","ACA167","0,68","5","3050"
"B06038","ACE631","0,07","5","3051"
"B06038","LAM025","1","0","3052"
"B06039","ACA002","0,4","5","3053"
"B06039","ACA014","1","5","3054"
"B06039","ACA120","0,05","5","3055"
"B06039","ACE076","4","5","3056"
"B06040","CEM005","0,03","5","3057"
"B06040","ESP096","0,1","3","3058"
"B06040","REC011","0,5","5","3059"
"B06040","REC012","1","5","3060"
