"CodPar","Descri","CovPar","UniPar","RenPar","PreUni","UniCanRen","CanPar","Coste","RPC","UniMed"
"B02001","CONFORMACION A MANO DE TERRENO, PARA LOSA DE PISO","S/C","m2","30","","U","","False","","0"
"B02002","EJECUCION DE CONCRETO MARTILLADO, INCLUYE FRISO BASE CON ARROCILLO","S/C","m2","6","","U","","False","","0"
"B02003","TANQUILLA EN CONCRETO ARMADO DE 60X70X50  APROXIMADAMENTE. INCLUYE ENCOFRADO (NO INCLUYE TAPA METALICA)","S/C","und","3,5","","U","","False","","0"
"B02004","S/C DE ACERO DE REFUERZO 2100 KG/CM2 PARA FUNDACIONES, VIGA DE RIOSTRA PEDESTALES Y LOSA DE 1/2'"-3/8'"-3/4'"","S/C","kgf","500","","U","","False","","0"
"B02005","S/C DE CONCRETO EN LOSA DE PISO CON RESISTENCIA F'C=250 KGF/CM2, DE 5'" DE ASENTAMIENTO (10% DE FRACCION DEFECTUOSA)","S/C","m3","22","","U","","False","","0"
"B02006","S/C DE CONCRETO EN LOSA MACIZA (TIPO LOSACERO) CON RESISTENCIA F'C=250 KGF/CM2, DE 5'" DE ASENTAMIENTO (10% DE FRACCION DEFECTUOSA)","S/C","m3","16","","U","","False","","0"
"B02007","S/C DE DINTELES Y MACHONES, INCLUYE ACERO DE REFUERZO","S/C","m","25","","U","","False","","0"
"B02008","S/C DE SOBREPISO DE ESPESOR HASTA 15 CM. INCLUYE ACERO DE REFUERZO","S/C","m2","12","","U","","False","","0"
"B02009","S/C DE SOBREPISO NIVELADO DE CEMENTO HASTA 6 CM PARA INSTALACION DE ACABADO FINAL","S/C","m2","15","","U","","False","","0"
"B02010","S/C DE VIGAS DE CORONA INCLUYE ACERO DE REFUERZO","S/C","m","13","","U","","False","","0"
"B02011","BROCALES DE CONCRETO H=15 CM, ANCHO=20 CM, INCLUYE ENCOFRADO DE MADERA","S/C","m","22","","U","","False","","0"
"B02012","S/I ENCOFRADO DE MADERA TIPO RECTO ACABADO CORRIENTE","S/C","m2","23","","U","","False","","0"
"B02013","ENCOFRADO DE MADERA, TIPO RECTO, ACABADO CORRIENTE, EN BASES Y ESCALONES.","S/C","m2","16","","U","","False","","0"
"B02014","RELLENO Y COMPACTACION CON MATERIAL GRANULAR","S/C","m3","100","","U","","False","","0"
"B02015","EXCAVACION EN FUNDACIONES Y VIGAS DE RIOSTRAS","S/C","m3","6","","U","","False","","0"
"B02016","CONSTRUCCION DE BASE DE GRANZON NATURAL CORRESPONDIENTE A OBRAS PREPARATIVAS, INCLUYE EL SUMINISTRO Y TRANSPORTE DEL MATERIAL HASTA UNA DISTANCIA DE 50 KM. (INC. ESPARCIMIENTO Y COMPACTACION)","S/C","m3","140","","U","","False","","0"
"B02017","S/C DE BASE GRANULAR EN VIGAS DE RIOSTRA Y LOSA DE PISO","S/C","m3","15","","U","","False","","0"
"B03001","INSTALACION DE PUERTA METALICA DE SEGURIDAD EXISTENTE","S/C","und","2","","U","","False","","0"
"B03002","RECUBRIMIENTO DE PAREDES CON LAMINAS METALICAS DE ESPESOR 6MM","S/C","m2","5","","U","","False","","0"
"B03003","S/C DE ANCLAJES EN PERFILES METALICOS CON RAMPLUG HILTI Y LAMINA DE 16MM","S/C","und","6","","U","","False","","0"
